prompt,lang,expected_way,way_id,model,score
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-atlassian-graph/collaboration/incremental-exploration,en,0.1783
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/automation,en,0.1691
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/sshagent,en,0.1679
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/tools,en,0.1642
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/adr,en,0.1625
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/tracking,en,0.1621
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/schema,en,0.1601
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/rust,en,0.1595
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/dev/api-gotchas,en,0.1518
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/dev/api-gotchas,en,0.1518
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-ets-global/atlassian/graph-discovery,en,0.1502
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/ssh,en,0.1473
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/implement,en,0.1466
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/testing/mocking,en,0.1442
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/quality,en,0.1431
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/visualization/diagrams,en,0.1420
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/authoring/pii-free,en,0.1409
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/makefile,en,0.1394
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/standards,en,0.1390
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/make,en,0.1320
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-markdown-mixed-media/build,en,0.1319
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/optimization/tuning,en,0.1307
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs,en,0.1306
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/cli,en,0.1269
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/memory,en,0.1258
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code,en,0.1226
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-ets-global/audit/prove-then-generalize,en,0.1224
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/email/drafting,en,0.1211
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/design,en,0.1210
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/testing,en,0.1178
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/think,en,0.1170
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-graph-introspection/atlassian/graph-introspection,en,0.1132
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/policy,en,0.1126
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security,en,0.1118
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/node,en,0.1116
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/subagents,en,0.1097
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture,en,0.1086
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/visualization,en,0.1085
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-google-workspace-mcp/factory,en,0.1063
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan,en,0.1060
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust/voice,en,0.1014
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/repo-health,en,0.0982
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/repo-health,en,0.0982
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/tool-surface,en,0.0952
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain,en,0.0930
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust/autonomy,en,0.0896
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/sourceaudit,en,0.0895
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/email,en,0.0884
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/cost-analysis,en,0.0882
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/cost-analysis,en,0.0882
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/testing,en,0.0881
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/operator,en,0.0876
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/intelligence,en,0.0842
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/mermaid,en,0.0837
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security/secrets,en,0.0836
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/adr,en,0.0810
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/calendar,en,0.0792
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/shellrc,en,0.0785
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/project-health,en,0.0767
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/user-identity,en,0.0766
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/user-identity,en,0.0766
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-markdown-mixed-media/testing,en,0.0759
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/adr/migration,en,0.0737
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/migrations,en,0.0705
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/org-inventory,en,0.0679
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/org-inventory,en,0.0679
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-ets-global/audit/project-context,en,0.0658
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/prompt,en,0.0645
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security/injection,en,0.0640
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell,en,0.0636
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge,en,0.0628
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,research,en,0.0583
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-salesforce-cloud/salesforce,en,0.0562
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/comms,en,0.0559
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust,en,0.0542
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/api,en,0.0542
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/testing/tdd,en,0.0530
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/devmode,en,0.0521
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/deps,en,0.0516
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/comms/recap,en,0.0493
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security/auth,en,0.0427
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/go,en,0.0405
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/debugging,en,0.0399
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/lifecycle,en,0.0370
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/lifecycle,en,0.0370
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/runbooks,en,0.0367
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/dual-modes,en,0.0352
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust/delegation,en,0.0351
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/database,en,0.0305
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/analysis,en,0.0303
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/analysis,en,0.0303
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/web,en,0.0289
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/python,en,0.0270
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/briefing,en,0.0254
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/adr-context,en,0.0244
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/full-coverage,en,0.0235
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/incident,en,0.0162
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/api,en,0.0122
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/performance,en,0.0103
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/threat-modeling,en,0.0098
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea,en,0.0068
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/config,en,0.0036
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/commits,multi,0.7268
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery,multi,0.4349
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/authoring/tool-agnostic,multi,0.3944
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/quality,multi,0.3941
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs,multi,0.3762
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/standards,multi,0.3684
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/proposals,multi,0.3568
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment,multi,0.3424
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/historysever,multi,0.3279
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,writing,multi,0.3218
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/patches,multi,0.3190
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/docstrings,multi,0.3181
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/config,multi,0.3174
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/adr,multi,0.3162
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/adr-context,multi,0.3086
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/email/drafting,multi,0.3083
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/deps,multi,0.3057
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/testing,multi,0.2997
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/think,multi,0.2988
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/optimization/tuning,multi,0.2907
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture,multi,0.2903
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/skills,multi,0.2900
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/tools,multi,0.2845
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/shellrc,multi,0.2843
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/adr/migration,multi,0.2818
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/implement,multi,0.2804
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/comms/recap,multi,0.2803
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/release,multi,0.2789
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/design,multi,0.2750
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/mermaid,multi,0.2713
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security/auth,multi,0.2707
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/branching,multi,0.2701
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/visualization,multi,0.2695
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/visualization/diagrams,multi,0.2661
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/testing/mocking,multi,0.2631
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/testing/tdd,multi,0.2606
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/sourceaudit,multi,0.2578
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea,multi,0.2551
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/github,multi,0.2521
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/email,multi,0.2521
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/project-health,multi,0.2518
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/subagents,multi,0.2503
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/policy,multi,0.2451
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/readme,multi,0.2418
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security,multi,0.2412
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/incident,multi,0.2395
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/memory,multi,0.2394
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/tasks,multi,0.2366
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/debugging,multi,0.2333
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/repoaudit,multi,0.2269
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/architecture/threat-modeling,multi,0.2237
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,research,multi,0.2182
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/errors,multi,0.2119
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan,multi,0.2116
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust/voice,multi,0.2104
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/api,multi,0.2103
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/makefile,multi,0.2099
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/tracking,multi,0.2078
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain,multi,0.2032
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/tasks/time,multi,0.1997
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/visualization/charts,multi,0.1949
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/optimization,multi,0.1936
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/performance,multi,0.1919
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/go,multi,0.1919
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/calendar,multi,0.1916
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge,multi,0.1898
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code,multi,0.1896
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/node/lockfile,multi,0.1790
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust,multi,0.1777
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security/secrets,multi,0.1745
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/migrations,multi,0.1731
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/briefing,multi,0.1725
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/introspection,multi,0.1698
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell,multi,0.1649
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust/delegation,multi,0.1625
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/security/injection,multi,0.1610
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/rust,multi,0.1604
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/gitconfig,multi,0.1534
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/node,multi,0.1526
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/prompt,multi,0.1482
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/ssh,multi,0.1294
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/trust/autonomy,multi,0.1228
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/runbooks,multi,0.1189
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/sshagent,multi,0.1106
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/authoring/pii-free,multi,0.1100
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/automation,multi,0.1046
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/python,multi,0.0937
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/intelligence,multi,0.0920
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/comms,multi,0.0773
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/testing,en,0.5454
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/testing/mocking,en,0.4077
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code,en,0.3617
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-app-markdown-mixed-media/testing,en,0.3548
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-ai-knowledge-graph-system/kg/testing,en,0.3357
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/supplychain/depscan,en,0.3026
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-ai-knowledge-graph-system/kg/make,en,0.2915
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/testing/tdd,en,0.2898
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/supplychain/depscan/go,en,0.2805
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-app-github-manager/dev/new-verb,en,0.2755
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-praecipio-platform-ops/dev/new-verb,en,0.2755
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/environment/deps,en,0.2599
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/tool-surface,en,0.2595
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-praecipio-ets-global/audit/prove-then-generalize,en,0.2494
"i need to write unit tests for this module",en,softwaredev/code/testing,-home-aaron-Projects-ai-mcp-google-workspace-mcp/factory,en,0.2470
"i need to write unit tests for this module",en,softwaredev/code/testing,ea/email,en,0.2424
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/quality,en,0.2408
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/security,en,0.2358
"i need to write unit tests for this module",en,softwaredev/code/testing,itops/runbooks,en,0.2270
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/docs/standards,en,0.2256
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/code/supplychain,en,0.2231
"i need to write unit tests for this module",en,softwaredev/code/testing,meta/skills,en,0.2223
"i need to write unit tests for this module",en,softwaredev/code/testing,softwaredev/architecture/design,en,0.2221
